bookno,Title,Author,Language
51321.txt, Prime Difference, Alan E. Nourse, English
24966.txt, Survival Tactics, Al Sevcik, English
704.txt, The Mansion, Henry Van Dyke, English
23172.txt, The Damned Thing, Ambrose Bierce, English
51296.txt, The Sense of Wonder, Milton Lesser, English
710.txt, Love of Life, Jack London, English
51241.txt, Bridge Crossing, Dave Dryfoos, English
51255.txt, Chain Reaction, Boyd Ellanby, English
51533.txt, The Celestial Hammerlock, Donald Colvin, English
59575-8.txt, Dearest Enemy, Fox Holden, English
34470-8.txt, The Blue Jar Story Book, Maria Edgeworth, English
5592.txt, Complete Short Works, Georg Ebers, English
512.txt, Mosses from an Old Manse and Other Stories, Nathaniel Hawthorne, English
43558-0.txt, The Sandman’s Hour, Abbie Phillips Walker, English
59345.txt, Slow Burn, Henry Still, English
7114-8.txt," Une Vie, A Piece of String and Other Stories", Guy de Maupassant, English
3077-0.txt," Original Short Stories of Maupassant, Volume 1", Guy de Maupassant, English
1096.txt,The Faith of Men,Jack London,English
59157.txt, Escape Mechanism, Charles E. Fritch, English
12336-8.txt, Brown Wolf and Other Jack London Stories, Jack London, English
32906.txt, Thy Name Is Woman, Bryce Walton, English
54567-0.txt, Bizarre Happenings Eyewitnessed Over Two Decades, Jianren Wu, Chinese
32735.txt, Forsyte's Retreat, Winston Marks, English
27462.txt, The Last Evolution, John Wood Campbell, English
51286.txt, Pen Pal, Milton Lesser, English
689-0.txt, The Kreutzer Sonata and Other Stories, Leo Tolstoi, English
2776-8.txt, The Four Million, O. Henry, English
40848-8.txt, The Gully of Bluemansdyke, A. Conan Doyle, English
8803-8.txt, Grosse und Kleine Welt, Honore De Balzac, German
32127.txt, Wheels Within, Charles V. De Vet, English
32133.txt, The Graveyard of Space, Milton Lesser, English
9790-8.txt, Traffics and Discoveries, Rudyard Kipling, English
24879-8.txt," Curious, if True", Elizabeth Gaskell, English
7144-0.txt, While the Billy Boils, Henry Lawson, English
49754.txt, What Do You Read?, Boyd Ellanby, English
489.txt, One Basket, Edna Ferber, English
30283.txt, The Sound of Silence, Barbara Constant, English
16244.txt, The Turkish Jester, Nasreddin Hoca, English
1883-0.txt, The Wife and Other Stories, Anton Chekhov, English
30941-0.txt, The German Classics of the Nineteenth and Twentieth Centuries, Various, English
15868-8.txt, The Man Without a Country and Other Tales, Edward E. Hale, English
2809-0.txt, Main-Travelled Roads, Hamlin Garland,English
30240.txt, The Big Trip Up Yonder, Kurt Vonnegut, English
30255.txt, The Skull, Philip K. Dick, English
17601.txt, Masques & Phases, Robert Ross, English
51132.txt, Whiskaboom, Alan Arkin, English
58670.txt, Dreamer's World, Bryce Walton, English
14256-8.txt, The Bell in the Fog and Other Stories, Gertrude Atherton, English
51668.txt, Dreamworld, R. A. Lafferty, English
2830.txt, Reginald, Saki, English
32654.txt, Project Hush, Philip Klass, English
15466-8.txt, Victorian Short Stories of Troubled Marriages," Rudyard Kipling, Ella D'Arcy, Arthur Morrison, Arthur Conan Doyle,", English
22890-0.txt, The Worlds of If, Stanley Grauman Weinbaum, English
44385-8.txt," Bliss, and Other Stories", Katherine Mansfield, English
32697.txt, The Sword, Frank Quattrocchi, English
701.txt, The King of the Golden River, John Ruskin., English
715.txt, The Moon Endureth--Tales and Fancies, John Buchan, English
