bookno,Title,Author,Language
58639.txt, Welcome Martians, S.A. Lombino, English
53861-8.txt, The Apple-Tree Table and Other Sketches, Herman Melville, English
7256.txt, The Gift of the Magi, O. Henry, English
1633.txt,"The Brick Moon, et. al.",Edward Everett Hale,English
288-8.txt, The Certain Hour, James Branch Cabell, English
30234.txt, Dead Ringer, Lester del Rey, English
12995-8.txt, The Matador of the Five Towns and Other Stories, Arnold Bennett, English
13507-8.txt, Cuentos de Amor de Locura y de Muerte, Horacio Quiroga, Spanish
51185.txt, All Jackson's Children, Daniel F. Galouye, English
39397-0.txt, One of Cleopatra's Nights and Other Fantastic Romances, Thophile Gautier, English
29994.txt, Irresistible Weapon, Horace Brown Fyfe, English
44630-8.txt, From a Swedish Homestead, Selma Lagerlf, English
32344.txt, Pet Farm, Roger Dee, English
59297.txt, Your Time is Up, Walt Sheldon, English
32436.txt, Duel on Syrtis, Poul William Anderson, English
20872-8.txt, The Best Short Stories of 1917," ""The Jessica Letters"" (with Paul Elmer More), ""A Circuit Rider's", English
19102.txt, Dearest, Henry Beam Piper, English
902-0.txt, The Happy Prince, Oscar Wilde, English
28644.txt, Beyond the Door, Philip K. Dick, English
55283-8.txt, The Bet and other stories, Anton Tchekhov, English
28650.txt, Year of the Big Thaw, Marion Zimmer Bradley, English
23532-8.txt, Betrachtung, Franz Kafka, German
27588.txt, The Jupiter Weapon, Charles Louis Fontenay, English
8668-8.txt, Revenge!, by Robert Barr, English
30053-8.txt," Los Puritanos, y otros cuentos", D. Armando Palacio Valds, Spanish
23960-8.txt, ...After a Few Words..., Gordon Randall Garrett, English
761.txt, A. V. Laider, Max Beerbohm, English
59693.txt, The Old Goat, Charles L. Fontenay, English
867-0.txt, Mrs. Korner Sins Her Mercies, Jerome K. Jerome, English
23301.txt, Each Man Kills, Victoria Glad, English
10775-8.txt, Le Horla and Others, Guy de Maupassant, French
27973-8.txt, Der Mantel, Nicolaj Gogol, German
58980.txt, A Witch in Time, Herb Williams, English
2518.txt, The Hungry Stones And Other Stories, Rabindranath Tagore, English
329-0.txt, Island Nights' Entertainments, Robert Louis Stevenson, English
41562.txt, The Hanging Stranger, Philip K. Dick, English
1993.txt,Told After Supper,Jerome K. Jerome,English
35997-8.txt, The Jungle Book, Rudyard Kipling, English
23197-8.txt, Subversive, Dallas McCord Reynolds, English
13834-0.txt, À se tordre, Alphonse Allais, French
705-0.txt, The Roadmender, Michael Fairless, English
59165-0.txt, Uncanny Stories, May Sinclair, English
2295.txt, Waifs and Strays, O. Henry, English
30199.txt, McIlvaine's Star, August Derleth, English
31287.txt, Turnover Point, Alfred Coppel, English
4357.txt, American Fairy Tales, L. Frank Baum, English
1208-0.txt, South Sea Tales, Jack London, English
29704-8.txt, Masterpieces of Mystery, Various, English
58659-8.txt, Resurrection Seven, Stephen Marlowe, English
50876.txt, Earthbound, Lester del Rey, English
19381-8.txt, Among the Farmyard People, Clara Dillingham Pierson, English
1415.txt, Doctor Marigold, Charles Dickens, English
51361.txt, Birds of a Feather, Robert Silverberg, English
9485-8.txt, A Little Book of Profitable Tales, Eugene Field, English
54895-8.txt, Limbo, Aldous Huxley, English
35770-0.txt, The Hero, Elaine Wilber, English
33028-8.txt, Man and Maid, E. (Edith) Nesbit, English
59259.txt, The Outer Quiet, Herbert D. Kastle, English
7956-0.txt, Married, August Strindberg, English
1617.txt, The Wind in the Rose-bush and Other Stories of the Supernatural, Mary Eleanor Wilkins Freeman, English
26475-8.txt, The Boy Scouts Book of Campfire Stories, Various, English
24517.txt, Accidental Death, Peter Baily, English
1029-0.txt, The Night-Born, Jack London, English
46107-8.txt, The German Lieutenant and Other Stories, August Strindberg, English
51101-8.txt, Nice Girl With 5 Husbands, Fritz Leiber, English
1831.txt,The Lock and Key Library,"Julian Hawthorne, Ed",English
32360.txt, The Holes Around Mars, Jerome Bixby, English
15143-8.txt, Famous Modern Ghost Stories, Various, English
295-0.txt," The Early Short Fiction of Edith Wharton, Part 1 (of 10)", Edith Wharton, English
50464-0.txt, The Lonesome Trail, John Gneisenau Neihardt, English
43628-0.txt, Strange Stories from a Chinese Studio vol. II (of 2), Songling Pu, English
1916-0.txt, The Great Stone Face, Nathaniel Hawthorne, English
26966-8.txt, A Place in the Sun, C.H. Thames, English
396.txt," The Lady, or the Tiger?", Frank R. Stockton, English
30123-8.txt, Romans -- Volume 3: Micromegas, Voltaire, English
29542.txt, The Valor of Cappen Varra, Poul William Anderson, English
30761.txt, The Minus Woman, Russell Robert Winterbotham, English
12921-8.txt, Bjrnstjerne Bjrnson Gesammelte Werke in Fnf Bnden; Erster Band, Bjrnstjerne Bjrnson, German
36766-0.txt, Der kleine Herr Friedemann, Thomas Mann, German
30086-8.txt, Has Anyone Here Seen Kelly?, Bryce Walton, English
1595-8.txt, Whirligigs, O. Henry, English
26856.txt, Solander's Radio Tomb, Ellis Parker Butler, English
10150-8.txt, Dracula's Guest, Bram Stoker, English
16405-8.txt," Little Classics, Volume 8 (of 18)", Various, English
872-0.txt, Reprinted Pieces, Charles Dickens, English
32764.txt, Manners of the Age, Horace Brown Fyfe, English
50877.txt, Education of a Martian, Joseph Shallit, English
36258.txt, The Beautiful People, Charles Beaumont, English
31347-8.txt, Contos, Jos Maria Ea de Queirs, Portuguese
28933.txt, One Out of Ten, J. Anthony Ferlaine, English
35148-8.txt, Here and Hereafter, Barry Pain, English
58725-8.txt, Quickie, Milton Lesser, English
9240-0.txt, The Man of Adamant, Nathaniel Hawthorne, English
3815-8.txt, Rolling Stones, O. Henry, English
58967.txt, The Procurator of Judea, Anatole France, English
58581-8.txt, The Story of the Siren, E. M. Forster, English
29620.txt, Sorry: Wrong Dimension, Ross Rocklynne, English
30371.txt, Service with a Smile, Charles Louis Fontenay, English
29720-8.txt, Hall of Mirrors, Fredric Brown, English
27631.txt, Dead World, Jack Douglas, English
9309-8.txt, In a Steamer Chair and Other Stories, Robert Barr, English
59304.txt, Bright Islands, Frank Riley, English
45524-8.txt, The Open Boat and Other Stories, Stephen Crane, English
38172-8.txt,Atlantic Narratives,Numerous,English
1197-0.txt, Taras Bulba and Other Tales, Nikolai Vasilievich Gogol, English
34313-8.txt, Literature in the Making, Various, English
2043.txt,Stories by Modern American Authors,Julian Hawthorne,English
18776-8.txt," The Wit and Humor of America, Volume IV. (of X.)", Various, English
21327-8.txt," The Works of Guy de Maupassant, Vol. 1 (of 8)", Guy de Maupassant, English
57277-0.txt, A Dreamer's Tales, Lord Dunsany, English
12750-8.txt, The Stolen Bacillus and Other Incidents, H. G. (Herbert George) Wells, English
22897-8.txt, The Ideal, Stanley Grauman Weinbaum, English
22091-8.txt, The Best Short Stories of 1920," ""Rollo's Journey to Cambridge"" (with F. J. Stimson),", English
30763.txt, Am I Still There?, James R. Hall, English
6133-0.txt," The Extraordinary Adventures of Arsene Lupin, Gentleman-Burglar", Maurice Leblanc, English
4778.txt, Sipurim (Stories), Sam Vaknin, English
51148.txt, Common Denominator, John D. MacDonald, English
59373-8.txt, Catalysis, Poul Anderson, English
41161-8.txt, La vida en los campos, Giovanni Verga, Spanish
343.txt, Fables, Robert Louis Stevenson, English
23535.txt, The Invaders, Benjamin Ferris, English
3085-0.txt," Original Short Stories, Volume 9 (of 13)", Guy de Maupassant, English
332-0.txt, The Burial of the Guns, Thomas Nelson Page, English
29742.txt, The Long Voyage, Carl Richard Jacobi, English
1202-8.txt, Tales of Unrest, Joseph Conrad, English
32410.txt, No Shield from the Dead, Gordon Rupert Dickson, English
10746-8.txt, Boule de Suif, Guy de Maupassant, French
39644-8.txt, Whilomville Stories, Stephen Crane, English
40917-0.txt, Storie da ridere.... e da piangere, Ercole Luigi Morselli, Italian
29019.txt, All Cats Are Gray, Andre Alice Norton, English
59267.txt, The Laboratorians, Edward Peattie, English
28893.txt, Of Time and Texas, William F. Nolan, English
33406-8.txt, Heath's Modern Language Series: Spanish Short Stories, Elijah Clarence Hills, Spanish
1743-0.txt, Twelve Stories and a Dream, H. G. Wells, English
52590-0.txt, The Night Club, Herbert Jenkins, English
5659.txt, Stories by Foreign Authors: Polish, Various, English
23059-0.txt, My Friend The Murderer, A. Conan Doyle, English
33707-8.txt, Yiddish Tales, Various, English
31483.txt, The First Little Pet Book with Ten Short Stories in Words of Three and Four Letters, Frances Elizabeth Barrow, English
32820.txt, World Beyond Pluto, C. H. Thames, English
26855.txt, Hard Guy, H. B. Carleton, English
51363.txt, Double Standard, Alfred Coppel, English
13555-8.txt, Youth and the Bright Medusa, Willa Cather, English
32854-8.txt, Arsne Lupin gentleman-cambrioleur, Maurice Leblanc, French
869-0.txt, The Soul of Nicholas Snyders, Jerome K. Jerome, English
1053-0.txt, Within the Tides, Joseph Conrad, English
26066-8.txt, The Cosmic Express, John Stewart Williamson, English
29623.txt, The Cuckoo Clock, Wesley Barefoot, English
20303-8.txt, The Best Short Stories of 1915, Various, English
2550-0.txt, Tales of Trail and Town, Bret Harte, English
236-0.txt, The Jungle Book, Rudyard Kipling, English
1626-0.txt, After Dark, Wilkie Collins, English
3181-0.txt, The Stolen White Elephant, Mark Twain (Samuel Clemens), English
33662-8.txt, A Republic Without a President and Other Stories, Herbert Ward, English
40321-8.txt, Grim Tales, Edith Nesbit, English
24149-8.txt, The Ambulance Made Two Trips, William Fitzgerald Jenkins, English
58743.txt, Little Boy, Harry Neal, English
30399.txt, Pythias, Frederik Pohl, English
593.txt, Selected Writings of Guy de Maupassant, Guy de Maupassant, English
42416-0.txt, Piccole anime, Matilde Serao, Italian
27582-0.txt, Yushi Mingyan, Feng Menglong, Chinese
26153-0.txt, The Last of the Legions and Other Tales of Long Ago, Arthur Conan Doyle, English
2359-0.txt, Stories By English Authors: France, Various, English
58974.txt, Our Town, Jerome Bixby, English
25035.txt, The Happy Unfortunate, Robert Silverberg, English
58790.txt, A Cold Night for Crying, Milton Lesser, English
57904-8.txt, The Doom of London, Frederick Merrick White, English
51549.txt, The Big Engine, Fritz Leiber, English
2569-0.txt," The Day's Work, Volume 1", Rudyard Kipling, English
56686-0.txt, Tom Temple's Career, Horatio Alger Jr., English
43706-8.txt, Wounds in the rain, Stephen Crane, English
30568-8.txt," Kipling Stories and Poems Every Child Should Know, Book II", Rudyard Kipling, English
2420-8.txt,Unterhaltungen deutscher Ausgewanderten,Goethe,German
21989-0.txt, Ein Landarzt, Franz Kafka, German
26206-8.txt, Pandemic, Jesse Franklin Bone, English
47405-0.txt, Short Sixes, H. C. Bunner, English
28698.txt, The Crystal Crypt, Philip Kindred Dick, English
25791-0.txt, In der Strafkolonie, Franz Kafka, German
18713-8.txt, Violets and Other Tales, Alice Ruth Moore, English
30014.txt, Native Son, T. D. Hamm, English
50904.txt, On the Fourth Planet, J.F. Bone, English
29579.txt, Watchbird, Robert Sheckley, English
26995-0.txt, Montezuma's Castle and Other Weird Tales, Charles B. Cory, English
51603.txt, All The People, R.A. Lafferty, English
385.txt, The Redheaded Outfield and Other Baseball Stories, Zane Grey, English
51171.txt, A Little Journey, Ray Bradbury, English
26606-0.txt, Uncanny Tales, Various, English
40718-0.txt, Atlantic Narratives, Mary Antin, English
25627.txt, The Hunted Heroes, Robert Silverberg, English
352.txt, Buttered Side Down, Edna Ferber, English
33056-8.txt, Historias Sem Data, Joaquim Maria Machado de Assis, Portuguese
33850-8.txt, The Slizzers, Jerome Bixby, English
2535-0.txt, Openings in the Old Trail, Bret Harte, English
28726-8.txt, The Boy Scouts Book of Stories, Various, English
59476-0.txt, More E. K. Means, Eldred Kurtz Means, English
24276.txt, The Coffin Cure, Alan Edward Nourse, English
49897-8.txt, The Gravity Business, James E. Gunn, English
911-0.txt, Tales of the Fish Patrol, Jack London, English
51616.txt, Sales Talk, Con Blomberg, English
38131-8.txt, On Secret Service, William Nelson Taft, English
15610-8.txt, First Love (Little Blue Book #1195), Various, English
55514-0.txt, Cuentos de amor, Emilia Pardo Bazán, Spanish
59504.txt, A Matter of Order, Fox B. Holden, English
11603-8.txt, The House of Cobwebs and Other Stories, George Gissing, English
2004-0.txt, “Pigs is Pigs”, Ellis Parker Butler, English
4514-0.txt, Tales Of Men And Ghosts, Edith Wharton, English
51414.txt, ...So They Baked a Cake, Winston Marks, English
14449-8.txt, Dutch Courage and Other Stories, Jack London, English
2305-0.txt, A Set of Six, Joseph Conrad, English
23599-8.txt, The Big Fix, George Oliver Smith, English
36238-8.txt, The Mantle and Other Stories, Nicholas Gogol, English
32819.txt, Elegy, Charles Beaumont, English
38310-8.txt, The Wolves of God, Algernon Blackwood, English
373-0.txt, Lay Morals, Robert Louis Stevenson, English
24799-8.txt, The Escape of Mr. Trimm, Irvin S. Cobb, English
55471-0.txt, The Black Lion Inn, Alfred Henry Lewis, English
2047.txt,Stories of Modern French Novels,Julian Hawthorne,English
59332-8.txt, Abaft the Funnel, Rudyard Kipling, English
35879-0.txt, The Rotifers, Robert Abernathy, English
970.txt, Uncles Josh's Punkin Centre Stories, Cal Stewart, English
22997.txt, Second Sight, Alan Edward Nourse, English
32117-8.txt, Eleven Possible Cases, Frank R. Stockton, English
29140.txt, The Mathematicians, Arthur Feldman, English
38664-8.txt, The Four Corners of the World, A. E. W. (Alfred Edward Woodley) Mason, English
29632.txt, Competition, James Causey, English
582.txt, A Collection of Beatrix Potter Stories, Beatrix Potter, English
41565.txt, Consignment, Alan E. Nourse, English
59302.txt, The Pioneers, Basil Wells, English
55473-0.txt, Kott?, Lafcadio Hearn, English
47818-8.txt, Diesseits, Hermann Hesse, German
34852.txt, Moonshine & Clover, Laurence Housman, English
594.txt, Twilight Stories, Various, English
7471.txt, The Man with Two Left Feet, P. G. Wodehouse, English
51774.txt, The Weirdest World, R. A. Lafferty, English
29142.txt, Keep Out, Fredric Brown, English
51957-0.txt, Tales From a Rolltop Desk, Christopher Morley, English
37242-8.txt, Stories and Pictures, Isaac Loeb Peretz, English
29618.txt, The Aggravation of Elmer, Robert Andrew Arthur, English
40386-8.txt, Wandering Ghosts, F. Marion Crawford, English
5737-0.txt, Smoke Bellew, Jack London, English
27392.txt, Lease to Doomsday, Lee Archer, English
31282.txt, Mars Confidential, Jack Lait, English
3707-8.txt, The Trimmed Lamp, O. Henry, English
2163-0.txt, The Bridge-Builders, Rudyard Kipling, English
29432.txt, The Man the Martians Made, Frank Belknap Long, English
51589.txt, The Rag and Bone Men, Algis Budrys, English
19324-8.txt," The Wit and Humor of America, Volume VI. (of X.)", Various, English
28062.txt, The Man Who Saw the Future, Edmond Hamilton, English
21775-8.txt," The Best of the World's Classics, Restricted to Prose, Vol. IV (of X)--Great Britain and Ireland II", Various, English
23651.txt, Test Rocket!, Jack Douglas, English
28076.txt," Original Short Stories, Complete, Volumes 1-13", Guy de Maupassant, English
32827.txt, Think Yourself to Death, C.H. Thames, English
32996-8.txt, The Ten-foot Chain, Achmed Abdullah, English
48383-0.txt, Histoires grotesques et sérieuses, Edgar Allan Poe, French
59498-8.txt, What Shall It Profit?, Poul Anderson, English
58721-8.txt, Unwelcomed Visitor, William Morrison, English
29750.txt, Zen, Jerome Bixby, English
51530-8.txt, The Last Letter, Fritz Leiber, English
1620-0.txt, The Lion and the Unicorn and Other Stories, Richard Harding Davis, English
58802.txt, Community Property, Alfred Coppel, English
29989.txt, The Outbreak of Peace, Horace Brown Fyfe, English
51167.txt, Butterfly 9, Donald Keith, English
29976.txt, Weak on Square Roots, Russell Burton, English
6168.txt, Fifty Famous People, James Baldwin, English
9161-0.txt, A Comedy of Marriage and Other Tales, Guy De Maupassant, English
34544-8.txt, This is not a Story, Denis Diderot, English
29559-8.txt, They Twinkled Like Jewels, Philip Jos Farmer, English
13553-8.txt, The Tidal Wave and Other Stories, Ethel May Dell, English
32832.txt, Piper in the Woods, Philip K. Dick, English
8933-8.txt, Popular Tales from the Norse, Sir George Webbe Dasent, English
37397-0.txt, Weird Stories, Edgar Alan Poe, Greek
28063.txt, The Next Logical Step, Benjamin William Bova, English
10135-8.txt," The Great English Short-Story Writers, Vol. 1", Various, English
32395-8.txt, No Strings Attached, Lester del Rey, English
36712-8.txt, The Best Psychic Stories, Various, English
31202-8.txt, The Strange Cases of Dr. Stanchon, Josephine Daskam Bacon, English
29619.txt, The Altar at Midnight, Cyril M. Kornbluth, English
6695-8.txt, Tales of the Jazz Age, F. Scott Fitzgerald, English
21279.txt, 2 B R 0 2 B, Kurt Vonnegut, English
49598-8.txt, The Little Angel and Other Stories, Leonid Andreyev, English
1467-0.txt, Some Christmas Stories, Charles Dickens, English
34757-0.txt, Mashi and Other Stories, Rabindranath Tagore, English
29990-8.txt, Satellite System, Horace Brown Fyfe, English
51074.txt, Don't Shoot, Robert Zacks, English
3084-0.txt," Original Short Stories, Volume 8 (of 13)", Guy de Maupassant, English
25078.txt, No Moving Parts, Murray F. Yaco, English
39635-0.txt, The Best Short Stories of 1918, Various, English
46581-0.txt, The Mystery of Choice, Robert William Chambers, English
59036-8.txt, The York Problem, Herbert D. Kastle, English
31648-8.txt, My Fair Planet, Evelyn E. Smith, English
58995-8.txt, Seller of the Sky, Dave Dryfoos, English
19323-8.txt," The Wit and Humor of America, Volume V. (of X.)", Various, English
37579-0.txt, Aufsätze, Robert Walser, German
41414-8.txt, The Girl From the Marsh Croft, Selma Lagerlf, English
647-0.txt, The Dynamiter, Robert Louis Stevenson, English
1338.txt, Selected Prose of Oscar Wilde, Oscar Wilde, English
43048.txt, The Piebald Hippogriff, Karen Anderson, English
2588-0.txt, Stories by English Authors: Scotland, Various, English
1603-0.txt," The Blue Flower, and Others", Henry van Dyke, English
23218-0.txt, The Red Room, H. G. Wells, English
1870-0.txt, Reginald in Russia, Saki, English
40964.txt, Tony and the Beetles, Philip K. Dick, English
24877-8.txt," Lucy Maud Montgomery Short Stories, 1907 to 1908", Lucy Maud Montgomery, English
809-0.txt, Holiday Romance, Charles Dickens, English
22893.txt, Pygmalion's Spectacles, Stanley Grauman Weinbaum, English
40970.txt, Exploiter's End, James Causey, English
51699.txt, The God Next Door, Bill Doede, English
23568.txt, The Mississippi Saucer, Frank Belknap Long, English
30272.txt, Very Short Stories and Verses For Children, Mrs. W. K. Clifford, English
51129.txt, A Gift from Earth, Manly Banister, English
6073-0.txt," Smith and the Pharaohs, and Other Tales", Henry Rider Haggard, English
36118-8.txt, A Crime of the Under-seas, Guy Boothby, English
50948.txt, Of All Possible Worlds, William Tenn, English
22545-8.txt, Warning from the Stars, Ron Cocking, English
21627.txt, Gambler's World, John Keith Laumer, English
18262-8.txt, Contes humoristiques - Tome I, Alphonse Allais, French
29509.txt, Warm, Robert Sheckley, English
4533.txt, The Hermit and the Wild Woman and Other Stories, Edith Wharton, English
59011.txt, The Last Crusade, George H. Smith, English
50753.txt, Later Than You Think, Fritz Leiber, English
26772.txt, A Question of Courage, Jesse Franklin Bone, English
30019-8.txt, Navy Day, Harry Harrison, English
37966-8.txt, Between the Dark and the Daylight, Richard Marsh, English
18811-0.txt, The Light Princess and Other Fairy Stories, George MacDonald, English
26955.txt, Advanced Chemistry, Jack G. Huekels, English
29643.txt, Death of a Spaceman, Walter M. Miller, English
16257-8.txt, The Turtles of Tasman, Jack London, English
49809.txt, Junior, Robert Abernathy, English
20387-8.txt, A Thin Ghost and Others, M. R. (Montague Rhodes) James, English
2234.txt," Sketches in Lavender, Blue and Green", Jerome K. Jerome, English
8486-8.txt, Ghost Stories of an Antiquary, M. R. James, English
51075.txt, A Stone and a Spear, Raymond F. Jones, English
25086.txt, The Delegate from Venus, Henry Slesar, English
58735.txt, Peace, Norman Arkawy, English
59403.txt, Jekyll and Hyde Planet, Jack Lewis, English
240.txt, Stories From the Old Attic, Robert Harris, English
29133.txt, Shipwreck in the Sky, Eando Binder, English
30476.txt, Zero Hour, Alexander Blade, English
38287-0.txt, We’re Civilized!, Mark Clifton and Alex Apostolides, English
38991-8.txt, Roumanian Stories, Various, English
12732-8.txt, Short-Stories, Various, English
10095-8.txt," The Twilight of the Gods, and Other Tales", Richard Garnett, English
23146.txt, And All the Earth a Grave, Carroll M. Capps (AKA C.C. MacApp), English
16578-8.txt, The Kipling Reader, Rudyard Kipling, English
31207-8.txt, Where the World is Quiet, Henry Kuttner, English
32077.txt, Breeder Reaction, Winston Marks, English
32711.txt, Disaster Revisited, Darius John Granger, English
7239-8.txt," Men, Women, and Boats", Stephen Crane, English
4793-0.txt, The Fiend's Delight, Dod Grile, English
4519.txt, The Descent of Man and Other Stories, Edith Wharton, English
30728.txt, Oneness, James H. Schmitz, English
32665.txt, The Anglers of Arz, Roger Phillips Dee, English
27284-8.txt, The Talking Horse, F. Anstey, English
51498.txt, Bad Memory, Patrick Fahy, English
58899.txt, Journey Work, Dave Dryfoos, English
24313-8.txt, Once a Week, Alan Alexander Milne, English
41613-8.txt," The Strand Magazine, Vol. 1 - No. 1,", Various, English
27903.txt, The Magic World, Edith Nesbit, English
334.txt, Episodes in Van Bibber's Life, Richard Harding Davis, English
50847-8.txt, Tea Tray in the Sky, Evelyn E. Smith, English
26098-8.txt, Happy Days, Alan Alexander Milne, English
29735.txt, Martians Never Die, Lucius Daniel, English
34817-8.txt," Tales of the Wonder Club, Volume II", Alexander Huth, English
2851-8.txt, Sixes and Sevens, O. Henry, English
453.txt, Emma McChesney & Co., Edna Ferber, English
56665-0.txt, Tales and Stories, Mary Wollstonecraft Shelley, English
5603-8.txt, Seven Icelandic Short Stories, Various, English
29799-8.txt, Los espectros, Leonid Nikolayevich Andreyev, Spanish
8681-8.txt, The Face And The Mask, Robert Barr, English
30715.txt, Where There's Hope, Jerome Bixby, English
1458-0.txt, Dream Life and Real Life, Olive Schreiner, English
1089-0.txt, Moon-Face and Other Stories, Jack London, English
24875-8.txt," Lucy Maud Montgomery Short Stories, 1904", Lucy Maud Montgomery, English
32658.txt, The Standardized Man, Stephen Bartholomew, English
692.txt,Complete Works of James Whitcomb Riley,James Whitcomb Riley,English
22662-8.txt, The Mummy's Foot, Thophile Gautier, English
50154-0.txt, Contes de lundi, Alphonse Daudet, French
8129-8.txt, A Dreamer's Palace, Lord Dunsany [Edward J. M. D. Plunkett], English
32076.txt, Brown John's Body, Winston Marks, English
38637-0.txt, Il diavolo nell’ampolla, Adolfo Albertazzi, Italian
3086-0.txt," Original Short Stories, Volume 10 (of 13)", Guy de Maupassant, English
30649.txt, Last Resort, Stephen Bartholomew, English
15859-8.txt, The Piazza Tales, Herman Melville, English
59172.txt, Willie's Planet, Mike Ellis, English
3713-0.txt, Aaron Trow, Anthony Trollope, English
873-0.txt, A House of Pomegranates, Oscar Wilde, English
51274.txt, Ambition, William L. Bade, English
22073.txt, The Repairman, Harry Harrison, English
645-0.txt, The Figure in the Carpet, Henry James, English
294-0.txt, The Captain of the Pole-Star and Other Tales, Arthur Conan Doyle, English
29132.txt, The Gun, Philip K. Dick, English
43629-0.txt, Strange Stories from a Chinese Studio (Volumes I and II), Songling Pu, English
5777-0.txt, Life’s Handicap, Rudyard Kipling, English
269-0.txt, Beasts and Super-Beasts, Saki, English
39891-8.txt, Jewel Mysteries, Max Pemberton, English
11501-8.txt, Laughing Bill Hyde and Other Stories, Rex Beach, English
1876-0.txt, The Shape of Fear, Elia W. Peattie, English
31976.txt, Derelict, Alan Edward Nourse, English
58730.txt, Miracle by Price, Irving E. Cox, English
55865-0.txt, Spiritual Tales, Fiona Macleod, English
22522-8.txt, Artists' Wives, Alphonse Daudet, English
30329.txt, Black Eyes and the Daily Grind, Milton Lesser, English
53042-0.txt, A Hitch in Space, Fritz Leiber, English
54183-0.txt, Le livre de la Jungle, Rudyard Kipling, French
6257.txt," Donovan Pasha And Some People Of Egypt, Volume 2.", Gilbert Parker, English
2031.txt,Lock and Key Library series,Julian Hawthorne,English
51258.txt, A Bad Day for Vermin, Keith Laumer, English
48998-0.txt, In the Village of Viger, Duncan Campbell Scott, English
36507-0.txt, Mary Wollstonecraft's Original Stories, Mary Wollstonecraft, English
18734-8.txt," The Wit and Humor of America, Volume III. (of X.)", Various, English
29446.txt, Beside Still Waters, Robert Sheckley, English
866.txt, The Cost of Kindness, Jerome K. Jerome, English
18709-8.txt, The Best Short Stories of 1921 and the Yearbook of the American Short Story, Various, English
39090.txt, Travelers Five Along Life's Highway, Annie Fellows Johnston, English
29876-8.txt, Death Wish, Robert Sheckley, English
31355.txt, To Each His Star, Bryce Walton, English
19325-8.txt," The Wit and Humor of America, Volume VII. (of X.)", Various, English
32580-8.txt, The Golgotha Dancers, Manly Wade Wellman, English
25586-8.txt," A Collection of Stories, Reviews and Essays", Willa Cather, English
32890.txt, Home is Where You Left It, Adam Chase, English
27411-8.txt, The House with the Mezzanine and Other Stories, Anton Tchekoff, English
877-0.txt, Little Britain, Washington Irving, English
30753-8.txt, Der Mord, Franz Kafka, German
27053.txt, The Day Time Stopped Moving, Bradner Buckner, English
25644.txt, The Man Who Hated Mars, Gordon Randall Garrett, English
3082-0.txt," Original Short Stories, Volume 6 (of 13)", Guy de Maupassant, English
22895.txt, The Point of View, Stanley Grauman Weinbaum, English
34618-8.txt, Twenty-Four Unusual Stories for Boys and Girls, Anna Cogswell Tyler, English
456.txt, The Door in the Wall And Other Stories, H. G. Wells, English
22426-8.txt, The Players, Everett B. Cole, English
6765-0.txt, Mogens and Other Stories, Jens Peter Jacobsen, English
24567.txt, Blind Man's Lantern, Allen Kim Lang, English
13437-8.txt, Best Russian Short Stories, Various, English
23762-8.txt, Blessed Are the Meek, G.C. Edmondson, English
27085.txt, Rootabaga Stories, Carl Sandburg, English
18261.txt, Operation R.S.V.P., Henry Beam Piper, English
56579-0.txt, The Countess of Lowndes Square and Other Stories, E. F. Benson, English
58341-0.txt, Novelle, Edmondo De Amicis, Italian
57349-0.txt, Table d'Hôte, W. Pett Ridge, English
22466.txt, The Ultimate Experiment, Thornton DeKy, English
30062.txt, The Plague, Teddy Keller, English
1069-0.txt," Nana, The Miller's Daughter, Captain Burle, Death of Olivier Becaille", Emile Zola, English
51311.txt, Make Me An Offer, Con Blomberg, English
15717-8.txt, Books and Persons, Arnold Bennett, English
9987.txt, Stories by Foreign Authors: Spanish, Various, English
32067.txt, Atom Drive, Charles Louis Fontenay, English
21782.txt, The Yillian Way, John Keith Laumer, English
24042-0.txt, Pang Huang, Chang-Shou Chou (AKA Shiun Lu), Chinese
3186-0.txt, The Mysterious Stranger and Other Stories, Mark Twain, English
51688-8.txt, The Air of Castor Oil, Jim Harmon, English
47017-0.txt," Ainslee's magazine, Volume 16, No. 3, October, 1905", Various, English
31778.txt, The Draw, Jerome Bixby, English
29889.txt, Life Sentence, James McConnell, English
936-0.txt, The Village Watch-Tower, (AKA Kate Douglas Riggs) Kate Douglas Wiggin, English
34089-8.txt, The Celestial Omnibus and other Stories, E. M. Forster, English
53102.txt, The Lonely, Judith Merril, English
56645-0.txt, Le poète assassiné, Guillaume Apollinaire, French
6040.txt, Stories by English Authors: Ireland, Various, English
21040-8.txt, Brazilian Tales, Joaquim Maria Machado de Assis, English
14790-8.txt, Contes du jour et de la nuit, Guy de Maupassant, French
38628-0.txt, Vecchie storie d’amore, Adolfo Albertazzi, Italian
53184-0.txt, Le Novelle della Pescara, Gabriele D'Annunzio, Italian
57333-0.txt, Project Gutenberg Compilation of 233 Short Stories of Chekhov, Anton Chekhov, English
58733.txt, Spatial Delivery, Randall Garrett, English
23061-0.txt, The Dead Are Silent, Arthur Schnitzler, English
508.txt, Twice-Told Tales, Nathaniel Hawthorne, English
1312-0.txt, Selected Stories, Bret Harte, English
29492.txt, Old Rambling House, Frank Patrick Herbert, English
39957-8.txt, Prairie Gold, Various, English
59149.txt, The Elroom, Jerry Sohl, English
29445.txt, The Hour of Battle, Robert Sheckley, English
25519.txt, Little Wizard Stories of Oz, L. Frank Baum, English
30655-8.txt, Ein Hungerknstler, Franz Kafka, German
